epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,10842.7,0.7126,3.58078,0.29106,0.46153,1.12655,0.97077,0.96907,0.98958,0.88122,0.84507,0.80634,0.81292,0.65273,0.573,2.11132,0.06212,0.30074,0.99892,0.007426,0.007426,0.007426
28,11299.1,0.70355,3.50347,0.28951,0.456,1.12145,0.97083,0.97171,0.99017,0.87927,0.84172,0.80646,0.81179,0.65722,0.57802,2.12104,0.06104,0.29813,0.99955,0.007327,0.007327,0.007327
29,11720.5,0.70107,3.49371,0.28597,0.45218,1.1184,0.96712,0.97455,0.98995,0.88262,0.84099,0.79597,0.80871,0.66,0.57942,2.14664,0.06051,0.29767,1.00013,0.007228,0.007228,0.007228
30,12075.3,0.70318,3.49677,0.28459,0.44884,1.11947,0.96763,0.97533,0.99049,0.88434,0.84565,0.80569,0.82129,0.66949,0.56988,2.06765,0.05976,0.29368,0.99359,0.007129,0.007129,0.007129
31,12366.4,0.70181,3.51389,0.28436,0.45078,1.11982,0.96539,0.97402,0.98999,0.88513,0.85506,0.80069,0.8235,0.66986,0.56789,2.06596,0.05921,0.29577,0.99172,0.00703,0.00703,0.00703
32,12710.6,0.69529,3.44933,0.2799,0.4466,1.11531,0.97085,0.97439,0.99026,0.88578,0.85902,0.82082,0.8392,0.68195,0.56074,1.97868,0.0575,0.28979,0.98885,0.006931,0.006931,0.006931
33,13012.4,0.69404,3.43366,0.27819,0.44426,1.11387,0.96933,0.97478,0.99047,0.88847,0.84679,0.81069,0.82032,0.67555,0.55658,2.03182,0.05905,0.28707,0.98391,0.006832,0.006832,0.006832
34,13302.4,0.68989,3.37622,0.27592,0.4381,1.11047,0.97261,0.974,0.99069,0.88885,0.8508,0.81356,0.82854,0.68261,0.5551,2.00827,0.05786,0.28541,0.98148,0.006733,0.006733,0.006733
35,13640.6,0.68833,3.35506,0.27405,0.43792,1.1086,0.96972,0.97489,0.99047,0.88889,0.85024,0.81878,0.83004,0.68306,0.55254,1.98292,0.05668,0.28462,0.98397,0.006634,0.006634,0.006634
36,14013.4,0.68422,3.33129,0.26915,0.43159,1.10426,0.9689,0.9727,0.98978,0.88762,0.85188,0.81853,0.83364,0.68741,0.55267,1.96436,0.05445,0.28435,0.98233,0.006535,0.006535,0.006535
37,16804,0.68376,3.33139,0.26853,0.43423,1.10632,0.9693,0.97426,0.98958,0.88759,0.86015,0.82248,0.84017,0.69291,0.54788,1.92737,0.05442,0.28319,0.98002,0.006436,0.006436,0.006436
38,17158,0.67624,3.27096,0.26617,0.42907,1.09874,0.97359,0.97681,0.9905,0.89175,0.86099,0.82834,0.84372,0.69535,0.5454,1.90825,0.0537,0.28208,0.97778,0.006337,0.006337,0.006337
39,17463.6,0.68153,3.31325,0.26695,0.42696,1.10478,0.97172,0.97872,0.9908,0.89128,0.85994,0.82681,0.8392,0.6942,0.54402,1.8967,0.05323,0.2796,0.9764,0.006238,0.006238,0.006238
40,18028.8,0.6757,3.2453,0.26479,0.42468,1.10066,0.97235,0.97795,0.99092,0.89204,0.86115,0.83178,0.84717,0.69734,0.54481,1.89152,0.05248,0.27832,0.97679,0.006139,0.006139,0.006139
41,18808.9,0.67137,3.23264,0.26184,0.42398,1.09696,0.97137,0.9777,0.99103,0.89311,0.86438,0.83013,0.8503,0.70201,0.54182,1.8696,0.05266,0.27614,0.97447,0.00604,0.00604,0.00604
42,19136,0.66769,3.18364,0.26078,0.42487,1.0974,0.96921,0.97875,0.9911,0.89526,0.87064,0.83109,0.8552,0.7079,0.53803,1.84061,0.05266,0.27582,0.97172,0.005941,0.005941,0.005941
43,19441,0.66573,3.15517,0.25988,0.41964,1.09482,0.97061,0.97628,0.99074,0.89566,0.87079,0.83564,0.85665,0.70963,0.53681,1.84141,0.05193,0.27435,0.97084,0.005842,0.005842,0.005842
44,19752.4,0.66587,3.09979,0.25736,0.42167,1.0939,0.9721,0.97679,0.99093,0.89619,0.86597,0.83714,0.8561,0.71216,0.53486,1.83431,0.05108,0.27256,0.96925,0.005743,0.005743,0.005743
45,20137.9,0.66322,3.01683,0.25604,0.41667,1.09525,0.97046,0.97846,0.99064,0.89697,0.8689,0.83537,0.85729,0.71517,0.53424,1.82951,0.05109,0.27198,0.96883,0.005644,0.005644,0.005644
46,22908.1,0.65823,3.02036,0.2574,0.41709,1.09207,0.97101,0.97762,0.9906,0.89747,0.87198,0.83217,0.85771,0.71683,0.53329,1.82417,0.05074,0.2715,0.96791,0.005545,0.005545,0.005545
